gene,SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521
A1BG,263,290,169,127,93,156,160,181
A1CF,2,0,2,1,1,6,0,5
A2M,20606,16107,32032,27972,2514,9889,32565,34498
A2ML1,6,3,5,3,7,15,11,2
A2MP1,10,13,16,0,2,2,11,5
A3GALT2,0,0,0,0,1,0,0,0
A4GALT,841,1162,1323,1071,1286,1801,941,1753
A4GNT,3,6,12,5,0,0,15,7
AAAS,794,732,949,533,789,876,658,690
AACS,451,302,457,302,409,481,393,360
AACSP1,1,0,0,1,0,3,2,0
AADAC,5,4,4,4,2,4,1,1
AADACL2,1,1,1,0,1,0,1,1
AADACL3,1,0,1,0,1,1,0,0
AADACL4,3,9,8,6,0,3,4,14
AADACP1,2,0,0,0,1,0,0,1
AADAT,186,144,131,36,191,184,144,90
AAGAB,730,559,899,491,975,1079,708,575
AAK1,1179,1021,1472,731,1354,1795,1253,1211
AAMDC,243,296,350,217,304,433,217,345
AAMP,1342,1515,1674,670,1573,2450,1115,1374
AANAT,0,0,3,0,2,2,1,4
AAR2,720,687,746,516,722,1045,554,709
AARD,4,16,4,4,5,2,1,6
AARS1,3182,2133,3902,1697,3707,3376,4136,2045
AARS1P1,0,0,0,0,0,0,0,0
AARS2,618,337,561,146,525,441,345,234
AARSD1,369,292,345,176,302,383,246,235
AARSD1P1,8,12,9,7,8,9,13,8
AASDH,291,214,335,174,297,382,282,264
AASDHPPT,608,596,760,392,821,919,743,607
AASS,478,972,549,670,423,979,451,1095
AATF,364,374,362,284,409,561,301,351
ABAT,356,664,409,480,404,950,349,683
ABCA1,5738,5501,8777,5760,10901,11374,8276,10217
ABCA10,228,112,311,68,207,65,205,75
ABCA11P,59,21,61,30,45,74,54,22
ABCA12,7,2,8,4,6,3,4,0
ABCA13,29,13,57,34,93,93,29,43
ABCA17P,3,6,8,6,6,7,13,9
ABCA2,1225,800,1547,733,1509,2408,1692,1384
ABCA3,119,81,237,139,57,77,141,226
ABCA3P1,0,0,0,0,0,0,0,0
ABCA4,15,42,30,60,15,86,16,52
ABCA5,339,335,613,416,403,454,523,394
ABCA6,1438,2895,1849,2425,1856,3102,1636,3641
ABCA7,125,73,305,86,214,237,155,96
ABCA8,3938,4600,5005,2861,5655,5171,3646,3742
ABCA9,1147,1815,2577,1855,1906,1672,2337,2518
ABCB1,129,88,164,73,137,83,119,44
ABCB10,273,370,303,262,268,454,244,311
ABCB10P1,0,0,0,0,0,0,0,0
ABCB10P3,0,0,0,0,0,0,0,0
ABCB10P4,0,0,0,0,0,0,0,0
ABCB11,0,0,0,0,0,0,0,0
ABCB4,67,15,61,16,18,17,49,26
ABCB5,33,9,75,12,9,13,26,7
ABCB6,562,552,474,224,376,518,317,226
ABCB7,297,239,350,186,389,353,275,249
ABCB8,616,504,667,422,626,805,524,427
ABCB9,97,52,120,33,88,91,116,39
ABCC1,4442,2632,3586,1449,3984,3563,3149,2158
ABCC10,544,598,763,366,450,668,520,448
ABCC11,9,4,2,5,16,6,5,11
ABCC12,0,0,0,0,0,0,0,2
ABCC13,0,0,3,3,3,2,1,1
ABCC2,23,33,23,6,9,37,9,23
ABCC3,211,469,360,295,378,1197,270,397
ABCC4,1257,1302,906,923,1832,2793,716,1211
ABCC5,1012,914,1164,901,1186,1751,913,1420
ABCC6,108,53,83,25,127,92,92,29
ABCC6P1,43,12,31,5,24,6,15,12
ABCC6P2,7,8,11,4,3,4,12,5
ABCC8,0,0,0,0,0,0,0,0
ABCC9,608,1068,1056,1151,635,1518,1000,2060
ABCD1,456,561,637,297,461,531,373,478
ABCD1P2,0,0,0,0,0,0,0,0
ABCD1P3,0,0,0,0,1,0,0,0
ABCD1P4,0,0,0,0,0,0,0,0
ABCD1P5,0,0,0,0,0,0,0,0
ABCD2,2,0,2,1,0,0,0,1
ABCD3,1187,881,1037,641,1278,1524,941,979
ABCD4,718,496,754,375,567,687,672,674
ABCE1,1193,1131,1172,619,1476,1935,945,1000
ABCE1P1,0,0,1,0,0,0,0,0
ABCE1P2,0,0,0,0,0,0,0,0
ABCE1P3,0,0,0,0,0,0,0,0
ABCF1,330,301,356,141,519,953,481,350
ABCF2,1036,1349,1257,922,1615,2278,991,1153
ABCF2P1,0,0,0,0,0,0,0,0
ABCF2P2,0,0,0,0,0,0,0,0
ABCF3,711,639,961,494,1028,1211,662,620
ABCG1,132,156,200,131,100,134,251,547
ABCG2,32,16,31,27,38,31,34,47
ABCG4,7,8,18,4,24,9,6,6
ABCG5,0,0,0,2,0,6,1,2
ABCG8,0,0,0,0,1,0,0,0
ABHD1,11,26,41,14,16,30,20,21
ABHD10,421,236,471,160,462,372,432,235
ABHD11,99,78,140,36,92,90,81,82
ABHD12,1151,1292,1306,1014,1422,1620,922,1431
ABHD12B,20,26,23,15,34,57,18,13
ABHD13,346,358,358,333,333,519,309,351
ABHD14A,276,246,254,142,253,326,225,209
ABHD14A-ACY1,23,5,11,10,11,10,6,16
ABHD14B,1095,1132,1034,646,885,1101,850,1043
ABHD15,342,475,423,424,342,582,340,562
ABHD16A,178,187,125,89,121,234,123,135
ABHD16B,41,31,70,24,47,67,60,69
ABHD17A,1212,1113,1242,678,939,1482,996,1102
ABHD17AP1,2,0,0,1,3,2,1,3
ABHD17AP3,0,0,2,0,1,0,1,0
ABHD17AP4,0,0,0,0,0,0,0,0
ABHD17AP5,0,0,0,0,0,1,0,0
ABHD17AP6,0,0,0,0,0,0,0,0
ABHD17AP7,0,0,0,0,0,0,0,0
