gene,baseMean,log2FoldChange,stat,pvalue,padj
GeneA,139695.98663557266,2.4146544891790267,60.217744954500596,5.100507260720347e-07,5.1005072607203475e-06
GeneB,125503.33026962275,-2.788045120600435,-39.236790528587086,4.3010601727669526e-05,0.00021505300863834762
GeneJ,36428.46546907787,1.6490839000999493,19.11600081005465,0.0006455705285709663,0.002151901761903221
GeneF,170232.62684411855,-0.2815630033479195,-8.510801066747392,0.0010541418503054348,0.002635354625763587
GeneE,51404.43172651716,1.539498532586098,10.181518493205123,0.006045462038268793,0.012090924076537586
GeneH,248896.3625483507,-0.20235041629606343,-4.537714996211059,0.02927234017645139,0.04420204133112545
GeneC,74699.61165822548,-0.18305739526044817,-3.6919265985332217,0.030941428931787817,0.04420204133112545
GeneD,110131.50463142105,-0.11759103762010881,-1.9599459980609686,0.17611215895883708,0.22014019869854634
GeneI,32860.395862958154,-0.13453986959527242,-1.4791534022593475,0.24863926014418963,0.27626584460465514
GeneG,10147.284354135647,-0.19709946304516102,-1.0106650726289748,0.38134464330165285,0.38134464330165285
