gene,ctrl_1,ctrl_2,ctrl_3,trt_1,trt_2,trt_3
GeneA,15.37318184915693,15.474693035557145,15.438466136145164,17.852347974710728,17.79296035086018,17.88499616282542
GeneB,17.75397616673404,17.68111909437742,17.788937264577427,14.9685798933217,14.836359683867963,15.05495758669792
GeneC,16.280056581417792,16.200505546184335,16.34918359046293,16.099799971532985,16.047835768502527,16.132937792248207
GeneD,16.810565719755065,16.903516419127847,16.701481590077417,16.684755624761106,16.66521233279262,16.712822658546276
GeneE,14.695130339520695,14.41814372454036,14.92390688700279,16.146092975098448,16.23225778413788,16.27732578958582
GeneF,17.502438642922844,17.555588836365356,17.47406548099405,17.20558363805095,17.274892478413634,17.20692783377391
GeneG,13.695184726048186,13.359321424627936,13.116667990447805,13.38370738367749,13.047984831623777,13.148183536687178
GeneH,18.017009484780285,18.050351353928157,17.999154108176253,17.828889101829756,17.887596821650856,17.74297777451589
GeneI,15.110154241847308,14.903551723216543,15.186933557471294,14.933815572646992,14.87383312478081,14.98937121632152
GeneJ,13.958201003267288,14.233728139643018,14.116586773575747,15.805061362248553,15.758333883706838,15.692372370830512
