library,term,pvalue,odds_ratio,combined_score,overlap_genes,adj_pvalue
Reactome_2022,Metallothioneins Bind Metals R-HSA-5661231,4.36052960493847e-05,58.1865234375,584.2120100940831,MT2A;MT1X;MT1E,0.019447962038025575
GO_Biological_Process_2023,DNA Strand Resection Involved In Replication Fork Processing (GO:0110025),0.0006277332252970674,76.99612403100775,567.7228576803623,BRCA1;SAMHD1,0.07055721452339038
GO_Biological_Process_2023,Negative Regulation Of p38MAPK Cascade (GO:1903753),0.0006277332252970674,76.99612403100775,567.7228576803623,DUSP10;DUSP1,0.07055721452339038
Reactome_2022,Response To Metal Ions R-HSA-5660526,9.482129891776345e-05,42.31107954545455,391.94938357871354,MT2A;MT1X;MT1E,0.02114514965866125
GO_Biological_Process_2023,Cellular Response To Zinc Ion (GO:0071294),0.00011795960560694895,38.783203125,350.8006001562594,MT2A;MT1X;MT1E,0.046959954557665155
GO_Biological_Process_2023,Skin Morphogenesis (GO:0043589),0.0011617395476570577,51.325581395348834,346.8499020731412,COL1A1;ERRFI1,0.09327108939760949
GO_Biological_Process_2023,Positive Regulation Of Megakaryocyte Differentiation (GO:0045654),0.0011617395476570577,51.325581395348834,346.8499020731412,HMGB2;RAB7B,0.09327108939760949
GO_Biological_Process_2023,Amine Metabolic Process (GO:0009308),0.0014872633947807551,43.991140642303435,286.41828814216444,VCAM1;MAOA,0.09457514817331497
GO_Biological_Process_2023,Establishment Of Endothelial Intestinal Barrier (GO:0090557),0.001851114999833567,38.49031007751938,242.17976540137838,RAP2B;TJP2,0.09457514817331497
GO_Biological_Process_2023,Positive Regulation Of Transcription From RNA Polymerase II Promoter In Response To Endoplasmic Reticulum Stress (GO:1990440),0.001851114999833567,38.49031007751938,242.17976540137838,CREB3L1;DDIT3,0.09457514817331497
GO_Biological_Process_2023,Cellular Response To Copper Ion (GO:0071280),0.00028855049794020246,27.36948529411765,223.07883396526142,MT2A;MT1X;MT1E,0.06486615193695752
GO_Biological_Process_2023,Negative Regulation Of Myotube Differentiation (GO:0010832),0.002252786052583026,34.21188630490956,208.54154935693353,TMEM119;CCN3,0.09798075577844748
GO_Biological_Process_2023,Negative Regulation Of Leukocyte Chemotaxis (GO:0002689),0.002252786052583026,34.21188630490956,208.54154935693353,DUSP1;CCN3,0.09798075577844748
GO_Biological_Process_2023,Negative Regulation Of Mononuclear Cell Migration (GO:0071676),0.0026917731636562324,30.789147286821706,182.19647659489397,DUSP1;CCN3,0.10432941503274501
GO_Biological_Process_2023,Regulation Of p38MAPK Cascade (GO:1900744),9.818488390514994e-05,18.931997136721545,174.71693224959003,PER1;DUSP10;GADD45B;DUSP1,0.046959954557665155
GO_Biological_Process_2023,Response To Copper Ion (GO:0046688),0.000502589798260098,22.151785714285715,168.25912133115668,MT2A;MT1X;MT1E,0.07055721452339038
GO_Biological_Process_2023,Response To Zinc Ion (GO:0010043),0.0005683998978960152,21.143821022727273,158.00112141719868,MT2A;MT1X;MT1E,0.07055721452339038
KEGG_2021_Human,Mineral absorption,4.568685165805358e-05,14.295815295815295,142.8680894840463,MT2A;MT1X;STEAP1;STEAP2;MT1E,0.007675391078553001
GO_Biological_Process_2023,Establishment Of Endothelial Barrier (GO:0061028),0.0007980728929994466,18.60375,132.70632744822578,RAP2B;MYADM;TJP2,0.07789184014812109
GO_Biological_Process_2023,Positive Regulation Of Osteoblast Proliferation (GO:0033690),0.032326773605739184,38.20192307692308,131.10363216765762,TMEM119,0.22363226228090882
GO_Biological_Process_2023,Morphogenesis Of An Endothelium (GO:0003159),0.032326773605739184,38.20192307692308,131.10363216765762,RHOB,0.22363226228090882
GO_Biological_Process_2023,Inner Ear Auditory Receptor Cell Differentiation (GO:0042491),0.032326773605739184,38.20192307692308,131.10363216765762,SLC4A7,0.22363226228090882
GO_Biological_Process_2023,Lipid Droplet Disassembly (GO:1905691),0.032326773605739184,38.20192307692308,131.10363216765762,PNPLA2,0.22363226228090882
GO_Biological_Process_2023,Kidney Morphogenesis (GO:0060993),0.032326773605739184,38.20192307692308,131.10363216765762,SOX4,0.22363226228090882
GO_Biological_Process_2023,Negative Regulation Of Cytokinesis (GO:0032466),0.032326773605739184,38.20192307692308,131.10363216765762,E2F7,0.22363226228090882
GO_Biological_Process_2023,Purine Deoxyribonucleotide Catabolic Process (GO:0009155),0.032326773605739184,38.20192307692308,131.10363216765762,SAMHD1,0.22363226228090882
GO_Biological_Process_2023,Positive Regulation Of Hemoglobin Biosynthetic Process (GO:0046985),0.032326773605739184,38.20192307692308,131.10363216765762,SLC6A9,0.22363226228090882
GO_Biological_Process_2023,Response To Lithium Ion (GO:0010226),0.032326773605739184,38.20192307692308,131.10363216765762,IMPA2,0.22363226228090882
GO_Biological_Process_2023,Protein Localization To Membrane Raft (GO:1903044),0.032326773605739184,38.20192307692308,131.10363216765762,MYADM,0.22363226228090882
GO_Biological_Process_2023,Hepatocyte Differentiation (GO:0070365),0.032326773605739184,38.20192307692308,131.10363216765762,E2F7,0.22363226228090882
GO_Biological_Process_2023,Positive Regulation Of Epithelial Cell Differentiation Involved In Kidney Development (GO:2000698),0.032326773605739184,38.20192307692308,131.10363216765762,LIF,0.22363226228090882
GO_Biological_Process_2023,Phagosome Acidification (GO:0090383),0.032326773605739184,38.20192307692308,131.10363216765762,SLC4A7,0.22363226228090882
GO_Biological_Process_2023,Positive Regulation Of Monoatomic Ion Transmembrane Transport (GO:0034767),0.032326773605739184,38.20192307692308,131.10363216765762,TRPC6,0.22363226228090882
GO_Biological_Process_2023,Type B Pancreatic Cell Proliferation (GO:0044342),0.032326773605739184,38.20192307692308,131.10363216765762,CCN3,0.22363226228090882
GO_Biological_Process_2023,"Regulation Of Circadian Sleep/Wake Cycle, Sleep (GO:0045187)",0.032326773605739184,38.20192307692308,131.10363216765762,PER3,0.22363226228090882
GO_Biological_Process_2023,PERK-mediated Unfolded Protein Response (GO:0036499),0.032326773605739184,38.20192307692308,131.10363216765762,DDIT3,0.22363226228090882
GO_Biological_Process_2023,Negative Regulation Of Lipoprotein Lipase Activity (GO:0051005),0.032326773605739184,38.20192307692308,131.10363216765762,SORT1,0.22363226228090882
GO_Biological_Process_2023,Negative Regulation Of Meiotic Cell Cycle (GO:0051447),0.032326773605739184,38.20192307692308,131.10363216765762,DUSP1,0.22363226228090882
GO_Biological_Process_2023,Negative Regulation Of Sequestering Of Triglyceride (GO:0010891),0.032326773605739184,38.20192307692308,131.10363216765762,PNPLA2,0.22363226228090882
GO_Biological_Process_2023,Regulation Of Long-Chain Fatty Acid Import Across Plasma Membrane (GO:0010746),0.032326773605739184,38.20192307692308,131.10363216765762,IRS2,0.22363226228090882
GO_Biological_Process_2023,Regulation Of Circadian Sleep/Wake Cycle (GO:0042749),0.032326773605739184,38.20192307692308,131.10363216765762,PER3,0.22363226228090882
GO_Biological_Process_2023,Regulation Of Mitotic Spindle Checkpoint (GO:1903504),0.032326773605739184,38.20192307692308,131.10363216765762,DUSP1,0.22363226228090882
GO_Biological_Process_2023,Negative Regulation Of Monocyte Chemotaxis (GO:0090027),0.032326773605739184,38.20192307692308,131.10363216765762,DUSP1,0.22363226228090882
GO_Biological_Process_2023,Pericardium Morphogenesis (GO:0003344),0.032326773605739184,38.20192307692308,131.10363216765762,FLRT3,0.22363226228090882
Reactome_2022,RUNX3 Regulates BCL2L11 (BIM) Transcription R-HSA-8952158,0.032326773605739184,38.20192307692308,131.10363216765762,FOXO3,0.3418421072559001
GO_Biological_Process_2023,Negative Regulation Of Glucocorticoid Receptor Signaling Pathway (GO:2000323),0.032326773605739184,38.20192307692308,131.10363216765762,PER1,0.22363226228090882
Reactome_2022,IRS Activation R-HSA-74713,0.032326773605739184,38.20192307692308,131.10363216765762,IRS2,0.3418421072559001
Reactome_2022,Response Of EIF2AK1 (HRI) To Heme Deficiency R-HSA-9648895,0.0042276699293122095,23.680381633870006,129.43943544423092,DDIT3;ASNS,0.17141279895211323
GO_Biological_Process_2023,Positive Regulation Of Glucose Metabolic Process (GO:0010907),0.0042276699293122095,23.680381633870006,129.43943544423092,NNMT;IRS2,0.14849690626709136
Reactome_2022,FOXO-mediated Transcription Of Cell Death Genes R-HSA-9614657,0.004810984392675328,21.98781838316722,117.34576682279196,DDIT3;FOXO3,0.17880825326109967
GO_Biological_Process_2023,Positive Regulation Of Peptidyl-Lysine Acetylation (GO:2000758),0.005429170370171551,20.52093023255814,107.03653477551352,BRCA1;SOX4,0.15647147425827754
GO_Biological_Process_2023,NAD Biosynthetic Process (GO:0009435),0.005429170370171551,20.52093023255814,107.03653477551352,NNMT;QPRT,0.15647147425827754
GO_Biological_Process_2023,Negative Regulation Of Striated Muscle Cell Differentiation (GO:0051154),0.005429170370171551,20.52093023255814,107.03653477551352,TMEM119;CCN3,0.15647147425827754
GO_Biological_Process_2023,Positive Regulation Of Regulatory T Cell Differentiation (GO:0045591),0.005429170370171551,20.52093023255814,107.03653477551352,DUSP10;FOXO3,0.15647147425827754
GO_Biological_Process_2023,Positive Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0036003),0.005429170370171551,20.52093023255814,107.03653477551352,CREB3L1;DDIT3,0.15647147425827754
GO_Biological_Process_2023,Galactose Metabolic Process (GO:0006012),0.03866659935826289,30.56,99.4049298240761,GALM,0.22363226228090882
